,geo,text,user,location,created_at
0,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",Bigmanalberta,"Alberta, Canada",2021-02-28 23:28:51
1,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee,…",BKells8,Chester SC,2021-02-28 23:28:42
2,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",Linfield_Fan,"Northern Ireland, United Kingd",2021-02-28 23:28:35
3,,"  If you are over 60, extremely vulnerable, or are a health/care worker and haven’t been contacted for a coronavirus vacc…",w3lshrugby,UK,2021-02-28 23:28:31
4,,"  Even if you've had the #Covid19 vaccine, it's important to continue to follow social distancing guidance, wash your hands…",uk_james,"Coalville, England",2021-02-28 23:28:28
5,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,DnbEndeavors,FL,2021-02-28 23:28:09
6,,"  In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total number of new c…",shaylateater,"Little Rock, AR",2021-02-28 23:27:59
7,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",euphrosene,West Sussex,2021-02-28 23:27:51
8,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,CherylT369,"Ontario, Canada",2021-02-28 23:27:18
9,,  This is how the Johnson &amp; Johnson coronavirus vaccine works ,BKoltunovitch,,2021-02-28 23:26:49
10,,  The Pan American Health Organization (PAHO) says work is advanced on the development of a coronavirus (COVID-19) vaccine i…,ahongry,Jamaica,2021-02-28 23:26:46
11,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,DelamamaResists,Delmarva,2021-02-28 23:26:41
12,,"As Connecticut prepares for its first shipment of the new Johnson &amp; Johnson COVID-19 vaccine, health officials say… ",hartfordcourant,"Hartford, Connecticut",2021-02-28 23:26:10
13,,Thousands of Utahns' illegitimate COVID-19 vaccine appointments being canceled after system error -… ,drnoahross,"Johannesburg, South Africa",2021-02-28 23:26:03
14,,"In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total nu… ",THV11,"Little Rock, Arkansas",2021-02-28 23:26:02
15,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",Alleninvest,London,2021-02-28 23:25:48
16,,More confusing directions to get a COVID Vaccination from Florida Gov DeSantis. What is extremely vulnerable condit… ,5wa,"St Petersburg, FL",2021-02-28 23:25:39
17,,COVID-19 news: CDC OKs Johnson &amp; Johnson vaccine; cases rise; Fauci ,JudiBStrubing,"Eugene, Oregon",2021-02-28 23:25:23
18,, Download the analyisis and see for yourself:,Markeeer,Markistan now full of potholes,2021-02-28 23:25:20
19,,  ✱ 'Magnificent achievement': 20 million people have received first coronavirus jab in UK #skynews #BreakingNews #PleaseRetwee…,Whenthe50930605,,2021-02-28 23:25:05
20,,  Report #vaccine side effects here UK ⬇️,minikap2012,United Kingdom,2021-02-28 23:24:53
21,,  Hoosiers 60+ can now register for the COVID-19 vaccine. Help a neighbor or family member register at …,kelseysoccer6,she/her,2021-02-28 23:24:38
22,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",MadyWaterer,,2021-02-28 23:24:38
23,,"  Get a COVID-19 vaccine and you'll be counseled to keep wearing a mask and keep staying away from other people. So, what's…",katelynndavila1,"Miami, FL",2021-02-28 23:23:54
24,,"  486,000 Wisconsinites have received both doses of COVID-19 vaccine; state reports new 464 cases ",MomRovin,,2021-02-28 23:23:46
25,,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,KMPHFOX26,Fresno,2021-02-28 23:23:46
26,,  JUST IN: The U.S. FDA has issued an Emergency Use Authorization for our single-dose #COVID19 vaccine. Learn more here:…,wardlemaire,,2021-02-28 23:23:44
27,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",JExantus,Aether,2021-02-28 23:23:20
28,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,sinlagrimasaun,,2021-02-28 23:23:19
29,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,stephaniefrommn,"Golden Valley, MN",2021-02-28 23:22:35
30,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",mamartinezp,Valencia,2021-02-28 23:22:22
31,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",PB_News,"Rochester, MN",2021-02-28 23:22:08
32,,"Since Fishers Island has no direct access to the rest of Long Island, our county vaccinators traveled by police boa… ",SteveBellone,"Suffolk County, NY",2021-02-28 23:21:46
33,,  The steady decline in new coronavirus infections and hospitalizations appears to have stalled. Experts now are trying to de…,simplybotansoap,"Metro Washington, DC USA",2021-02-28 23:21:30
34,,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,Rxdiet1Robin,,2021-02-28 23:21:25
35,,  NKC Schools to provide transportation for Cerner COVID-19 vaccine event,gideo_k,,2021-02-28 23:21:03
36,,  A panel of health advisers from the FDA have endorsed Johnson &amp; Johnson's one-dose COVID-19 vaccine Friday afternoon. https:…,MRichNews,Most likely in a Newsroom ,2021-02-28 23:21:00
37,,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,myfavenews,"Western Cape, South Africa",2021-02-28 23:21:00
38,,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,DCarsonCPA,"NYC, NY, National and Global",2021-02-28 23:20:41
39,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,lewisglynchbur1,Lynchburg,2021-02-28 23:20:19
40,,"Nearly 150,000 South Dakotans have received at least 1 dose of COVID-19 vaccine ",dailyrepublic,Mitchell SD,2021-02-28 23:19:55
41,,  Not alarming at all!!! 😂😂😂😂😂35 Michiganders have died after getting the COVID vaccine — but this stat is less alarming…,PJMoore1958,"Minnesota, USA ",2021-02-28 23:18:47
42,,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,WaiWai10430201,,2021-02-28 23:18:46
43,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",ChrisGorham,Los Angeles,2021-02-28 23:18:20
44,,The Latest: US panel endorses 3rd vaccine option from J&amp;J   #TodaysMedicalUpdate #Medicine… ,AJBlackston,"Washington, DC",2021-02-28 23:18:13
45,,"  #ElSalvador’s strong #COVID19 response has been built on equipping hospitals, community level care and training #healthworkers, pl…",nayib_bukelefan,,2021-02-28 23:18:05
46,,NKC Schools to provide transportation for Cerner COVID-19 vaccine event,41actionnews,"Kansas City, MO",2021-02-28 23:17:40
47,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",wadenapj,"Wadena, MN",2021-02-28 23:17:04
48,,  20 MILLION Brits have had #vaccine and now we are told that just one jab gives you 90% protection. THIS IS A GOOD NEWS STORY!…,mar45,"Dorset, ENGLAND",2021-02-28 23:16:52
49,,"  If you are over 60, extremely vulnerable, or are a health/care worker and haven’t been contacted for a coronavirus vacc…",SRL_82,"Melton Mowbray, England",2021-02-28 23:16:51
50,,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,misosoup619,,2021-02-28 23:16:23
51,,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,sebs511,"Connecticut, USA",2021-02-28 23:16:10
52,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",PR_Enterprise1,"Park Rapids, MN",2021-02-28 23:16:02
53,,"  Eight  stores are vaccinating Arizonans age 65+, teachers, child care providers, LTC staff, health workers, an…",PollyT20,"Arizona, USA",2021-02-28 23:15:52
54,,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,SRL_82,"Melton Mowbray, England",2021-02-28 23:15:36
55,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",num1cboysfn,#CowboysNation ,2021-02-28 23:15:28
56,,"  Ivory Coast received a shipment of COVID-19 doses from the COVAX vaccine-sharing facility on Friday, becoming the second…",EricCooks2,"Tuscaloosa, Alabama",2021-02-28 23:15:10
57,,  FEMA has to stop their racist behavior trying to vaccinate people per zip code (underserve… ,Applgasm_Apps,USA,2021-02-28 23:15:07
58,,Experts say all three vaccines now available in the United States are highly protective against the worst effects o… ,FCN2go,"Jacksonville, FL",2021-02-28 23:15:00
59,,  A 56 year old in the coronavirus news. Go figure. ,cruzing4bruzing,Here There n Everywhere,2021-02-28 23:14:54
60,,  NC is ranked #1 in the US for vaccinations of adults over 65. Way to go NC!I am so proud of our vaccine providers acro…,Kbethery,,2021-02-28 23:14:45
61,,  More than 20 million in Britain get first COVID-19 vaccine dose  ,Qripp,,2021-02-28 23:14:38
62,,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,blessed1today,"Connecticut, USA",2021-02-28 23:14:10
63,,"  Nigeria expects to take delivery of 3.92 million doses of the Covid-19 vaccine on Tuesday, the third West African country to…",lesomo_sunny,Rusteburg South Africa🇿🇦,2021-02-28 23:13:49
64,,"  JOHNSON &amp; JOHNSON’S (J&amp;J) coronavirus vaccine was cleared for use in the US, making a third shot available that could plug ga…",albert_bigornia,,2021-02-28 23:13:38
65,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,TeamEconReport,,2021-02-28 23:13:28
66,,"  Former French ambassador to the UK Sylvie Bermann says the UK's #COVID19 vaccine rollout has been a ""real success"", ad…",adamwri90366758,🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴🇮🇪,2021-02-28 23:13:10
67,,"  Look what happens when Black health care providers &amp; orgs. lead: ""Over 24 hours, the Black Doctors COVID-19 Consortium vacc…",HelenGrayIBCLC,London UK,2021-02-28 23:13:01
