,text,sentiment,country
0,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
1,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee,…","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}",USA
2,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
3,"  If you are over 60, extremely vulnerable, or are a health/care worker and haven’t been contacted for a coronavirus vacc…","{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2944}",United Kingdom
4,"  Even if you've had the #Covid19 vaccine, it's important to continue to follow social distancing guidance, wash your hands…","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2023}",UK
5,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA
6,"  In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total number of new c…","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.5994}",USA
7,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
8,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",Canada
9,  This is how the Johnson &amp; Johnson coronavirus vaccine works ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
10,  The Pan American Health Organization (PAHO) says work is advanced on the development of a coronavirus (COVID-19) vaccine i…,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",Jamaica
11,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA
12,"As Connecticut prepares for its first shipment of the new Johnson &amp; Johnson COVID-19 vaccine, health officials say… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
13,Thousands of Utahns' illegitimate COVID-19 vaccine appointments being canceled after system error -… ,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4019}",South Africa
14,"In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total nu… ","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",USA
15,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
16,More confusing directions to get a COVID Vaccination from Florida Gov DeSantis. What is extremely vulnerable condit… ,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5245}",USA
17,COVID-19 news: CDC OKs Johnson &amp; Johnson vaccine; cases rise; Fauci ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
18, Download the analyisis and see for yourself:,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
19,  ✱ 'Magnificent achievement': 20 million people have received first coronavirus jab in UK #skynews #BreakingNews #PleaseRetwee…,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.5994}",
20,  Report #vaccine side effects here UK ⬇️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United Kingdom
21,  Hoosiers 60+ can now register for the COVID-19 vaccine. Help a neighbor or family member register at …,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",Error
22,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
23,"  Get a COVID-19 vaccine and you'll be counseled to keep wearing a mask and keep staying away from other people. So, what's…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
24,"  486,000 Wisconsinites have received both doses of COVID-19 vaccine; state reports new 464 cases ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
25,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}",USA
26,  JUST IN: The U.S. FDA has issued an Emergency Use Authorization for our single-dose #COVID19 vaccine. Learn more here:…,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",
27,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
28,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",
29,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA
30,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
31,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
32,"Since Fishers Island has no direct access to the rest of Long Island, our county vaccinators traveled by police boa… ","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",USA
33,  The steady decline in new coronavirus infections and hospitalizations appears to have stalled. Experts now are trying to de…,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.2023}",USA
34,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,"{'neg': 0.094, 'neu': 0.842, 'pos': 0.064, 'compound': -0.1531}",
35,  NKC Schools to provide transportation for Cerner COVID-19 vaccine event,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
36,  A panel of health advisers from the FDA have endorsed Johnson &amp; Johnson's one-dose COVID-19 vaccine Friday afternoon. https:…,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",Error
37,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,"{'neg': 0.06, 'neu': 0.833, 'pos': 0.106, 'compound': 0.25}",South Africa
38,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
39,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA
40,"Nearly 150,000 South Dakotans have received at least 1 dose of COVID-19 vaccine ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
41,  Not alarming at all!!! 😂😂😂😂😂35 Michiganders have died after getting the COVID vaccine — but this stat is less alarming…,"{'neg': 0.149, 'neu': 0.796, 'pos': 0.055, 'compound': -0.4572}",USA
42,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}",
43,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
44,The Latest: US panel endorses 3rd vaccine option from J&amp;J   #TodaysMedicalUpdate #Medicine… ,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",USA
45,"  #ElSalvador’s strong #COVID19 response has been built on equipping hospitals, community level care and training #healthworkers, pl…","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.7579}",
46,NKC Schools to provide transportation for Cerner COVID-19 vaccine event,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
47,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
48,  20 MILLION Brits have had #vaccine and now we are told that just one jab gives you 90% protection. THIS IS A GOOD NEWS STORY!…,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6027}",UK
49,"  If you are over 60, extremely vulnerable, or are a health/care worker and haven’t been contacted for a coronavirus vacc…","{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2944}",UK
50,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,"{'neg': 0.094, 'neu': 0.842, 'pos': 0.064, 'compound': -0.1531}",
51,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
52,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
53,"  Eight  stores are vaccinating Arizonans age 65+, teachers, child care providers, LTC staff, health workers, an…","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}",USA
54,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}",UK
55,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",USA
56,"  Ivory Coast received a shipment of COVID-19 doses from the COVAX vaccine-sharing facility on Friday, becoming the second…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
57,  FEMA has to stop their racist behavior trying to vaccinate people per zip code (underserve… ,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.7351}",United States
58,Experts say all three vaccines now available in the United States are highly protective against the worst effects o… ,"{'neg': 0.172, 'neu': 0.711, 'pos': 0.117, 'compound': -0.3182}",USA
59,  A 56 year old in the coronavirus news. Go figure. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
60,  NC is ranked #1 in the US for vaccinations of adults over 65. Way to go NC!I am so proud of our vaccine providers acro…,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.6466}",
61,  More than 20 million in Britain get first COVID-19 vaccine dose  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
62,  Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
63,"  Nigeria expects to take delivery of 3.92 million doses of the Covid-19 vaccine on Tuesday, the third West African country to…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",South Africa
64,"  JOHNSON &amp; JOHNSON’S (J&amp;J) coronavirus vaccine was cleared for use in the US, making a third shot available that could plug ga…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",
65,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}",
66,"  Former French ambassador to the UK Sylvie Bermann says the UK's #COVID19 vaccine rollout has been a ""real success"", ad…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
67,"  Look what happens when Black health care providers &amp; orgs. lead: ""Over 24 hours, the Black Doctors COVID-19 Consortium vacc…","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",UK
68,✱ 'Magnificent achievement': 20 million people have received first coronavirus jab in UK #skynews #BreakingNews… ,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5994}",United States
69,Mass COVID-19 Vaccine Clinic to Open at Oakdale Theater in Wallingford ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
70,     That's not quite correct. This article explains it well. Only… ,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",United Kingdom
71,What health experts want those with compromised immune systems to know about the Johnson &amp; Johnson vaccine,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.3612}",Australia
72,⏰REMINDERTomorrow (3/1)  6:30PM there's a #COVID19 Vaccine Town Hall for Asian American &amp; Pacific Islander Ohioa… ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
73,COVID-19 vaccine: 20 million people have received first coronavirus jab in UK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
74,  Three stories to read tonight:🔴New Brazil COVID 'variant of concern' discovered in UK 🔴20 million p…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
75,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",
76,"  LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1, to d…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
77,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
78,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,"{'neg': 0.094, 'neu': 0.842, 'pos': 0.064, 'compound': -0.1531}",USA
79,"   The FDA said J&amp;J’s vaccine offers strong protection against what matters most: serious illness, hospitalizations and death. One…","{'neg': 0.327, 'neu': 0.502, 'pos': 0.17, 'compound': -0.6214}",USA
80,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
81,"  The CDC-backed website, , has now been updated to include COVID-19 vaccine locations nationwide, shar…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
82,"  Dr. Anthony Fauci, the top U.S. infectious disease official, said on Sunday he would take the newly approved Johnson &amp;…","{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5574}",Canada
83,"  BREAKING: U.S. approves Johnson &amp; Johnson’s single-dose COVID-19 shot, adding a third vaccine option to the race against the virus.…","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",USA
84,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
85,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",United States
86,  More than 20 million in Britain get first COVID-19 vaccine dose  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
87,"  LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1, to d…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
88,"LOOK: Staff from Pharmaserv Express arrive at the Lung Center of the Philippines in Quezon City on Monday, March 1,… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Philippines
89,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",
90,"  Ivory Coast received a shipment of COVID-19 doses from the COVAX vaccine-sharing facility on Friday, becoming the second…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
91,  Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn more abou…,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}",
92,        … ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Canada
93,  20 MILLION Brits have had #vaccine and now we are told that just one jab gives you 90% protection. THIS IS A GOOD NEWS STORY!…,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6027}",UK
94,  The Philippines has received its first batch of COVID-19 vaccine. It is among the last in Southeast Asia to secure the critical dos…,"{'neg': 0.089, 'neu': 0.817, 'pos': 0.093, 'compound': 0.0258}",USA
95,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
96,"  BMI isn't a foolproof standard to assess potential health risk factors, but an obesity medicine physician said ""it's a good measur…","{'neg': 0.137, 'neu': 0.696, 'pos': 0.167, 'compound': 0.4035}",USA
97,Hundreds more Covid-19 vaccine appointments open at NY state fairgrounds for early March -  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
98,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
99,"  *U.S. authorizes J&amp;J's COVID-19 vaccine, making it third available -  $JNJ …","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
100,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
101,  We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents starti…,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.4767}",USA
102,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",United States
103,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",Error
104,  If white people lived in these zip codes there'd be hell to pay.  Why is FEMA discriminati… ,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7184}",United States
105,"  BREAKING: U.S. approves Johnson &amp; Johnson’s single-dose COVID-19 shot, adding a third vaccine option to the race against the virus.…","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",United States
106,"  Getting an appointment for a COVID-19 vaccine has been elusive for many, leading some to go to drastic lengths to get a s…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
107,  NC is ranked #1 in the US for vaccinations of adults over 65. Way to go NC!I am so proud of our vaccine providers acro…,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.6466}",USA
108,I know #hemo has connections with #johnsonandjohnson but has it had anything to do with it’s new single shot covid… ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
109,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
110,  BREAKING—FDA declares that frozen vials of the Pfizer #COVID19 vaccine can now be transported &amp; stored at conventional free…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
111,"What total crap. Next they will call all people that have issues with vaccinations, domestic terrorists. Same playb… ","{'neg': 0.295, 'neu': 0.705, 'pos': 0.0, 'compound': -0.7717}",Australia
112,"  A third vaccine is poised to join the fight against Covid-19, and its rollout will be quick, officials say ","{'neg': 0.119, 'neu': 0.688, 'pos': 0.193, 'compound': 0.1531}",
113,"   The FDA said J&amp;J’s vaccine offers strong protection against what matters most: serious illness, hospitalizations and death. One…","{'neg': 0.327, 'neu': 0.502, 'pos': 0.17, 'compound': -0.6214}",USA
114,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",
115,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
116,  Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn more abou…,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}",USA
117,  A U.S. Centers for Disease Control and Prevention advisory panel voted on Sunday to recommend Johnson &amp; Johnson's COVID…,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}",South Africa
118,"   You’re trying to rewrite history: Trump is no longer president, the vaccines were developed largely independe…","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",
119,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",
120,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
121,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}",USA
122,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",
123,So um ... this seems concerning.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
124,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
125,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",
126,"Covid 19 coronavirus vaccine: Comedian #MikeKing blasts 'feral self-righteous' zealots in debate, via … ","{'neg': 0.117, 'neu': 0.714, 'pos': 0.169, 'compound': 0.2023}",USA
127,"  More than 20 million people across the United Kingdom have now received their first COVID-19 vaccine shot, data showed…","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",South Africa
128,  Can Employees Be Forced To Take The Covid-19 Vaccine? - Coronavirus (COVID-19) - Canada Interesting article ⁦…,"{'neg': 0.16, 'neu': 0.695, 'pos': 0.144, 'compound': -0.0772}",Canada
129, Distribution of the first single-dose Covid-19 vaccine is expected to begin quickly ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
130,"486,000 Wisconsinites have received both doses of COVID-19 vaccine; state reports new 464 cases ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
131,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",USA
132,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",USA
133,"Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCI… ","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}",USA
134,"  Ironically, many in the underserved communities that now receive preferential FEMA treatme… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States
