country,neg,neg%,neu,neu%,pos,pos%,compound
Argentina,0,0,0.796,79.6,0.204,20.4,0.5574
Australia,0.053181818,5.318181818,0.909181818,90.91818182,0.037636364,3.763636364,-0.047522727
Austria,0.113,11.3,0.887,88.7,0,0,-0.1027
Belgium,0.0478,4.78,0.864,86.4,0.0884,8.84,0.0582
Brazil,0,0,0.832,83.2,0.168,16.8,0.48945
Canada,0.039790698,3.979069767,0.885581395,88.55813953,0.051302326,5.130232558,0.051730233
Chile,0.037666667,3.766666667,0.861,86.1,0.101333333,10.13333333,0.2349
Colombia,0,0,1,100,0,0,0
Costa Rica,0.113,11.3,0.887,88.7,0,0,-0.1027
Côte d'Ivoire,0,0,0.939,93.9,0.061,6.1,0.0772
Dominican Republic,0,0,0.865,86.5,0.135,13.5,0.4215
Ecuador,0,0,1,100,0,0,0
Fiji,0.06,6,0.833,83.3,0.106,10.6,0.25
Finland,0,0,0.8935,89.35,0.1065,10.65,0.2787
France,0.02825,2.825,0.88475,88.475,0.087,8.7,0.203975
Germany,0,0,0.858,85.8,0.142,14.2,0.3716
Ghana,0.015,1.5,0.88,88,0.10475,10.475,0.26435
Greece,0,0,0.90875,90.875,0.09125,9.125,0.25605
Guatemala,0,0,1,100,0,0,0
Hong Kong,0,0,1,100,0,0,0
India,0.0158,1.58,0.9403,94.03,0.0439,4.39,0.06747
Indonesia,0,0,0.847,84.7,0.153,15.3,0.5574
Ireland,0,0,1,100,0,0,0
Israel,0.02825,2.825,0.88025,88.025,0.0915,9.15,0.21415
Italy,0,0,0.963428571,96.34285714,0.036571429,3.657142857,0.089028571
Jamaica,0,0,0.895,89.5,0.105,10.5,0.25
Japan,0.058,5.8,0.840666667,84.06666667,0.101333333,10.13333333,0.121966667
Kenya,0,0,0.773666667,77.36666667,0.226333333,22.63333333,0.572466667
Lebanon,0.0685,6.85,0.848,84.8,0.0835,8.35,0.20175
Malaysia,0,0,1,100,0,0,0
Malta,0,0,0.896,89.6,0.104,10.4,0.296
Mexico,0.035,3.5,0.8372,83.72,0.1274,12.74,0.2623
Mongolia,0,0,0.787,78.7,0.213,21.3,0.5574
Nepal,0,0,1,100,0,0,0
Netherlands,0,0,0.9545,95.45,0.0455,4.55,0.125
New Zealand,0.0345,3.45,0.956,95.6,0.0095,0.95,-0.040914286
Nicaragua,0,0,0.787,78.7,0.213,21.3,0.5574
Nigeria,0.012,1.2,0.9284,92.84,0.0594,5.94,0.15
Oman,0,0,0.8935,89.35,0.1065,10.65,0.2787
Peru,0,0,0.935,93.5,0.065,6.5,0.1027
Philippines,0.037666667,3.766666667,0.938333333,93.83333333,0.024,2.4,0
Poland,0,0,0.796,79.6,0.204,20.4,0.5574
Puerto Rico,0.088,8.8,0.8665,86.65,0.0455,4.55,-0.1956
Qatar,0,0,0.960666667,96.06666667,0.039333333,3.933333333,0.113333333
Rio Grande,0,0,0.935,93.5,0.065,6.5,0.1027
Rwanda,0,0,1,100,0,0,0
Saudi Arabia,0.0265,2.65,0.828,82.8,0.1455,14.55,0.38915
Singapore,0,0,1,100,0,0,0
Somalia,0.137,13.7,0.696,69.6,0.167,16.7,0.4035
South Africa,0.023384615,2.338461538,0.931923077,93.19230769,0.044538462,4.453846154,0.090523077
South Korea,0,0,0.909,90.9,0.091,9.1,0.25
Spain,0,0,0.80775,80.775,0.19225,19.225,0.468625
Svalbard and Jan Mayen,0,0,0.865,86.5,0.135,13.5,0.3612
Switzerland,0.098,9.8,0.747,74.7,0.155,15.5,0.13485
UAE,0.042,4.2,0.910333333,91.03333333,0.047666667,4.766666667,-0.006866667
UK,0.04205,4.205,0.898828571,89.88285714,0.059078571,5.907857143,0.035794286
USA,0.043974152,4.397415186,0.872082391,87.2082391,0.083914378,8.391437803,0.116854281
Uganda,0.0565,5.65,0.9435,94.35,0,0,-0.05135
Venezuela,0,0,0.907333333,90.73333333,0.092666667,9.266666667,0.220033333
Zimbabwe,0,0,0.787,78.7,0.213,21.3,0.5574
