country,neg,neu,pos,compound
Argentina,0.0,0.7959999999999999,0.204,0.5574
Australia,0.05318181818181818,0.9091818181818183,0.037636363636363634,-0.047522727272727265
Austria,0.113,0.887,0.0,-0.1027
Belgium,0.047799999999999995,0.8640000000000001,0.0884,0.058199999999999995
Brazil,0.0,0.8320000000000001,0.168,0.48945
Canada,0.039790697674418604,0.8855813953488372,0.05130232558139536,0.05173023255813955
Chile,0.03766666666666667,0.8610000000000001,0.10133333333333333,0.2349
Colombia,0.0,1.0,0.0,0.0
Costa Rica,0.113,0.887,0.0,-0.1027
Côte d'Ivoire,0.0,0.9390000000000001,0.061,0.0772
Dominican Republic,0.0,0.865,0.135,0.4215
Ecuador,0.0,1.0,0.0,0.0
Fiji,0.06,0.833,0.106,0.25
Finland,0.0,0.8935,0.1065,0.2787
France,0.02825,0.8847499999999999,0.087,0.20397500000000002
Germany,0.0,0.858,0.142,0.3716
Ghana,0.015,0.88,0.10475,0.26435
Greece,0.0,0.9087500000000001,0.09125,0.25605
Guatemala,0.0,1.0,0.0,0.0
Hong Kong,0.0,1.0,0.0,0.0
India,0.0158,0.9403,0.043899999999999995,0.06747
Indonesia,0.0,0.847,0.153,0.5574
Ireland,0.0,1.0,0.0,0.0
Israel,0.02825,0.88025,0.0915,0.21415
Italy,0.0,0.9634285714285714,0.036571428571428574,0.08902857142857143
Jamaica,0.0,0.895,0.105,0.25
Japan,0.057999999999999996,0.8406666666666666,0.10133333333333333,0.12196666666666667
Kenya,0.0,0.7736666666666667,0.22633333333333336,0.5724666666666667
Lebanon,0.06849999999999999,0.848,0.08349999999999999,0.20175
Malaysia,0.0,1.0,0.0,0.0
Malta,0.0,0.8959999999999999,0.10400000000000001,0.29600000000000004
Mexico,0.034999999999999996,0.8371999999999999,0.1274,0.26230000000000003
Mongolia,0.0,0.787,0.213,0.5574
Nepal,0.0,1.0,0.0,0.0
Netherlands,0.0,0.9545,0.0455,0.125
New Zealand,0.034499999999999996,0.9560000000000001,0.0095,-0.040914285714285716
Nicaragua,0.0,0.787,0.213,0.5574
Nigeria,0.012,0.9284000000000001,0.059399999999999994,0.15
Oman,0.0,0.8935,0.1065,0.2787
Peru,0.0,0.935,0.065,0.1027
Philippines,0.03766666666666667,0.9383333333333334,0.024000000000000004,0.0
Poland,0.0,0.7959999999999999,0.204,0.5574
Puerto Rico,0.08800000000000001,0.8665,0.0455,-0.1956
Qatar,0.0,0.9606666666666667,0.03933333333333334,0.11333333333333334
Rio Grande,0.0,0.935,0.065,0.1027
Rwanda,0.0,1.0,0.0,0.0
Saudi Arabia,0.0265,0.828,0.14550000000000002,0.38915
Singapore,0.0,1.0,0.0,0.0
Somalia,0.13699999999999998,0.696,0.16699999999999998,0.4035
South Africa,0.023384615384615386,0.931923076923077,0.044538461538461534,0.09052307692307693
South Korea,0.0,0.909,0.091,0.25
Spain,0.0,0.8077500000000001,0.19225,0.468625
Svalbard and Jan Mayen,0.0,0.865,0.135,0.3612
Switzerland,0.098,0.747,0.155,0.13485000000000003
UAE,0.042,0.9103333333333333,0.04766666666666667,-0.00686666666666665
UK,0.04205000000000001,0.898828571428571,0.059078571428571425,0.03579428571428574
USA,0.043974151857835216,0.8720823909531508,0.0839143780290794,0.11685428109854615
Uganda,0.0565,0.9435,0.0,-0.05135
Venezuela,0.0,0.9073333333333333,0.09266666666666667,0.22003333333333333
Zimbabwe,0.0,0.787,0.213,0.5574
